"Adresse","Status-Code","Status","HTML-Wörterzahl","Anzahl der gerenderten HTML-Wörter","Wortanzahl ändern","JS-Wortzahl %","HTML-Titel","Titel für gerendertes HTML","HTML H1","Gerendertes HTML H1","HTML-Meta Description","Meta Description für gerendertes HTML","HTML-Canonical","HTML Canonical gerendert","Einzigartige Inlinks","Einzigartige JS-Inlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks","HTML-Meta-Roboter 1","Gerenderte HTML-Meta-Roboter 1","Gut aussehende URL","Schlecht aussehende URL","JS-Fehler","JS-Warnung","JS-Info","JS-Debug","JS-Problem"
"https://www.delst.de/de/","200","OK","189","0","","","DeLSt - Deutsches eLearning Studieninstitut","","Think outside the box","","Staatlich geprüfte und zugelassene Fernstudiengänge am DeLSt ▲ Wähle aus zahlreichen Ausbildungen und Weiterbildungen im Fernstudium!","","https://www.delst.de/de/","","316","0","46","0","17","0","index,follow","","https://www.delst.de/de/","https://www.delst.de/de/","","","","",""
"https://www.delst.de/de/stellenangebote/","200","OK","196","0","","","Wir suchen dich! DeLSt-Stellenangebote","","Stellenangebote.","","Als eines der am schnellsten wachsenden Fernlehrinstitute suchen wir ständig nach Verstärkung. ▲ Bewirb dich jetzt!","","https://www.delst.de/de/stellenangebote/","","315","0","41","0","10","0","index,follow","","https://www.delst.de/de/stellenangebote/","https://www.delst.de/de/stellenangebote/","","","","",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/","200","OK","154","0","","","Fitness- und Gesundheitsmanagement Weiterbildungen | DeLSt","","Fitness- und Gesundheitsmanagement","","Weiterbildungen im Fitness- und Gesundheitsmanagement ✓Täglich starten ✓Flexibel nebenberuflich oder in Vollzeit ▲ Jetzt online starten!","","https://www.delst.de/de/fernstudium-gesundheitsmanagement/","","315","0","43","0","10","0","","","https://www.delst.de/de/fernstudium-gesundheitsmanagement/","https://www.delst.de/de/fernstudium-gesundheitsmanagement/","","","","",""
"https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/","200","OK","461","0","","","Neu: Intensives Prüfungstraining für Wirtschaftsbezogene Qualifikationen (IHK)","","Neu: Intensives Prüfungstraining für Wirtschaftsbezogene Qualifikationen (IHK)","","Mit dem Prüfungstraining haben Teilnehmende die Möglichkeit, sich noch intensiver auf die Teilprüfung zu den Wirtschaftsbezogenen Qualifikationen (IHK) vorzubereiten.","","","","21","0","35","0","11","0","index,follow","","https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/","https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/","","","","",""
"https://www.delst.de/de/studieninfos/","200","OK","196","0","","","Studieninfos | DeLSt","","Studieninfos.","","Hier findest du alle wichtigen Informationen zu deiner Ausbildung oder Weiterbildung als Fernstudium beim DeLSt! ▲ Informiere dich jetzt!","","https://www.delst.de/de/studieninfos/","","315","0","38","0","10","0","index,follow","","https://www.delst.de/de/studieninfos/","https://www.delst.de/de/studieninfos/","","","","",""
"https://www.delst.de/de/kalender-bildungsberatung/","200","OK","21","0","","","Terminvereinbarung der Bildungsberatung","","Kalender - Rückruf Bildungsberatung.","","Vereinbare jetzt einen persönlichen Beratungstermin mit unserer Bildungsberatung. Dein Team des DeLSt unterstützt dich in allen Fragen zu deiner Ausbildung.","","https://www.delst.de/de/kalender-bildungsberatung/","","316","0","34","0","10","0","index,follow","","https://www.delst.de/de/kalender-bildungsberatung/","https://www.delst.de/de/kalender-bildungsberatung/","","","","",""
"https://www.delst.de/de/ueber-uns/","200","OK","1038","0","","","Über uns | DeLSt","","Über uns.","","DeLSt: Modernes Bildungsinstitut mit staatlich geprüften Fernstudiengängen. ▲ Jetzt informieren!","","https://www.delst.de/de/ueber-uns/","","315","0","43","0","10","0","index,follow","","https://www.delst.de/de/ueber-uns/","https://www.delst.de/de/ueber-uns/","","","","",""
"https://www.delst.de/de/foerdermoeglichkeiten/","200","OK","306","0","","","Fördermöglichkeiten | DeLSt","","Fördermöglichkeiten.","","Welche Fördermöglichkeiten gibt es für meine Aus- und Weiterbildung? ✓Aufstiegs-BAFöG ✓Bildungsgutschein ✓Bildungsprämie ▲ Informiere dich jetzt!","","https://www.delst.de/de/foerdermoeglichkeiten/","","315","0","43","0","10","0","index,follow","","https://www.delst.de/de/foerdermoeglichkeiten/","https://www.delst.de/de/foerdermoeglichkeiten/","","","","",""
"https://www.delst.de/de/lehrgaenge-reiten/","200","OK","605","0","","","Reitsport Lehrgänge | DeLSt","","Reitsport","","Staatlich zugelassene Lehrgänge im Reiten und anerkannte Ausbildungen im Reitsport ✓Ortsunabhängig ✓Täglich starten ▲ Jetzt beraten lassen!","","https://www.delst.de/de/lehrgaenge-reiten/","","315","0","43","0","10","0","","","https://www.delst.de/de/lehrgaenge-reiten/","https://www.delst.de/de/lehrgaenge-reiten/","","","","",""
"https://www.delst.de/de/ihk-weiterbildung/industriefachwirt-ihk-fernstudium/","200","OK","10184","0","","","Industriefachwirt IHK Fernstudium | DeLSt","","Industriefachwirt IHK | Fernstudium","","Dein Abschluss auf Bachelor-Niveau! ✓komplett ortsunabhängig ✓75 % Förderung über Aufstiegs-BAföG ▲ Jetzt kostenfrei testen!","","https://www.delst.de/de/ihk-weiterbildung/industriefachwirt-ihk-fernstudium/","","24","0","54","0","24","0","index,follow","","https://www.delst.de/de/ihk-weiterbildung/industriefachwirt-ihk-fernstudium/","https://www.delst.de/de/ihk-weiterbildung/industriefachwirt-ihk-fernstudium/","","","","",""
