"Adresse","Inhaltstyp","Status-Code","Status","Indexierbarkeit","Indexierbarkeitsstatus","Titel 1","Länge von Titel 1","Pixelbreite von Titel 1","Meta Description 1","Länge von Meta Description 1","Pixelbreite von Meta Description 1","Meta Keywords 1","Länge der Meta Keywords 1","H1-1","Länge von H1-1","H2-1","Länge von H2-1","H2-2","Länge von H2-2","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical-Linkelement 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml-Linkelement","Größe (Bytes)","Übertragen (Bytes)","Total Transferred (bytes)","CO₂ (mg)","CO2-Bewertung","Wortanzahl","Sätze zählen","Durchschnittliche Wörter pro Satz","Flesch Reading Ease-Punktzahl","Lesbarkeit","Textanteil","Crawltiefe","Ordnertiefe","Link Score","Inlinks","Einzigartige Inlinks","Einzigartige JS-Inlinks","% von Gesamt","Outlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Externe Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks","Engste Ähnlichkeitsübereinstimmung","Anzahl der Nahduplikate","Rechtschreibfehler","Grammatikfehler","Hash","Antwortzeit","Last Modified","Umleitungs-URL","Umleitungs-Typ","Cookies","Language","HTTP-Version","Alternativer Mobil-Link","Kodierte Adresse der URL","Crawlzeitstempel"
"https://www.ehip.eu/","text/html; charset=UTF-8","200","OK","Indexierbar","","EHiP - Hochschule für Innovation und Perspektive","48","440","Gemeinsam stark: individuelle Betreuung für deinen Erfolg! ➤ Sprenge deine Grenzen und starte dein Fernstudium zum Bachelor an der EHiP!","136","859","","0","Sprenge deine Grenzen und starte dein Fernstudium zum Bachelor!","63","Coming Soon: UNSERE NEUEN DUALEN STUDIENGÄNGE","45","WESHALB DU AN DER EHiP STUDIEREN SOLLST","39","index,follow","","","https://www.ehip.eu/","","","","","","76087","14091","14091","4,995","","1716","360","4,767","31,071","Schwer","22,763","0","0","","1917","122","0","100,000","192","66","0","9","8","0","","","","","7995353dfd86dcafe22d8c260c7595ff","1,062","","","","","de","1.1","","https://www.ehip.eu/","2024-08-27 17:01:45"
"https://www.ehip.eu/files/_assets/img/logo/footer-youtube.png","image/png","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","918","918","918","0,325","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,024","Mon, 30 Jan 2023 12:53:46 GMT","","","","","1.1","","https://www.ehip.eu/files/_assets/img/logo/footer-youtube.png","2024-08-27 17:01:47"
"https://www.ehip.eu/assets/images/a/startseite-ehip-bildungsbereiche-marketing-15c4315b.webp","image/webp","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","11316","11316","11316","4,012","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,108","Fri, 09 Dec 2022 13:54:32 GMT","","","","","1.1","","https://www.ehip.eu/assets/images/a/startseite-ehip-bildungsbereiche-marketing-15c4315b.webp","2024-08-27 17:01:47"
"https://www.ehip.eu/assets/images/c/logo-akkreditierungsrat-63207888.svg","image/svg+xml","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,084","Fri, 05 May 2023 13:17:00 GMT","","","","","1.1","","https://www.ehip.eu/assets/images/c/logo-akkreditierungsrat-63207888.svg","2024-08-27 17:01:47"
"https://www.ehip.eu/files/_assets/js/jentis_ehip.js","application/javascript","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,076","Wed, 15 Nov 2023 16:06:12 GMT","","","","","1.1","","https://www.ehip.eu/files/_assets/js/jentis_ehip.js","2024-08-27 17:01:47"
"https://www.ehip.eu/study-guide/dein-studiensupport/","text/html; charset=UTF-8","200","OK","Indexierbar","","Dein Support - vom Dozierenden bis zur Betreuung | EHiP","55","506","Bei uns bekommst du deine persönliche 360-Grad-Betreuung, die gezielt für dich da ist, wenn du sie brauchst. ▲ Erfahre jetzt mehr!","130","797","","0","","0","Der FOCUS liegt auf dir","23","Dein Study Coach","16","index,follow","","","https://www.ehip.eu/study-guide/dein-studiensupport/","","","","","","44920","8013","8013","2,841","","499","79","6,316","47,500","Schwer","16,486","1","2","","250","122","0","100,000","144","59","0","9","8","0","","","","","707cb2bd303b04c6756ede73a9b1df2d","0,335","","","","","de","1.1","","https://www.ehip.eu/study-guide/dein-studiensupport/","2024-08-27 17:01:47"
"https://www.ehip.eu/assets/images/5/ehip-probestudium-start-1ad7c928.jpg","image/jpeg","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","40385","40385","40385","14,317","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,089","Tue, 04 Apr 2023 16:29:51 GMT","","","","","1.1","","https://www.ehip.eu/assets/images/5/ehip-probestudium-start-1ad7c928.jpg","2024-08-27 17:01:47"
"https://www.ehip.eu/study-guide/digitale-lerntools/","text/html; charset=UTF-8","200","OK","Indexierbar","","Digitale Lerntools und Live-Formate | EHiP","42","377","Individuelles & kollaboratives Lernen - beides geht! Entdecke unsere digitalen Lerntools und Live-Formate! ▲ Erfahre jetzt mehr!","128","775","","0","","0","INDIVIDUELLES & KOLLABORATIVES LERNEN - BEIDES GEHT!","52","Deine Online-Sprechstunde","25","index,follow","","","https://www.ehip.eu/study-guide/digitale-lerntools/","","","","","","44981","8424","8424","2,986","","596","103","5,786","29,207","Sehr schwer","18,805","1","2","","250","122","0","100,000","142","59","0","9","8","0","","","","","912797c7bf4c1f0e57d38cdecf4a07af","0,370","","","","","de","1.1","","https://www.ehip.eu/study-guide/digitale-lerntools/","2024-08-27 17:01:47"
"https://www.ehip.eu/assets/images/d/bachelor-gesundheitsmanagement-fernstudium-ehip-hauptbild-e995d117.webp","image/webp","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","11196","11196","11196","3,969","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,077","Fri, 09 Dec 2022 13:45:31 GMT","","","","","1.1","","https://www.ehip.eu/assets/images/d/bachelor-gesundheitsmanagement-fernstudium-ehip-hauptbild-e995d117.webp","2024-08-27 17:01:47"
"https://www.ehip.eu/files/_assets/img/logo/footer-tiktok.png","image/png","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1096","1096","1096","0,389","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,081","Mon, 30 Jan 2023 12:53:46 GMT","","","","","1.1","","https://www.ehip.eu/files/_assets/img/logo/footer-tiktok.png","2024-08-27 17:01:47"
