"Adresse","Inhaltstyp","Status-Code","Status","HTTP-Version","Indexierbarkeit","Indexierbarkeitsstatus","Canonical-Linkelement 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.ehip.eu/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/","index,follow",""
"https://www.ehip.eu/study-guide/dein-studiensupport/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/study-guide/dein-studiensupport/","index,follow",""
"https://www.ehip.eu/study-guide/digitale-lerntools/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/study-guide/digitale-lerntools/","index,follow",""
"https://www.ehip.eu/study-guide/studieren-mit-ihk-abschluss/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/study-guide/studieren-mit-ihk-abschluss/","index,follow",""
"https://www.ehip.eu/ueber-uns/qualitaet/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/ueber-uns/qualitaet/","index,follow",""
"https://www.ehip.eu/study-guide/gebuehrenmodelle/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/study-guide/gebuehrenmodelle/","index,follow",""
"https://www.ehip.eu/marketing-und-kommunikation-bachelorstudiengaenge/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/marketing-und-kommunikation-bachelorstudiengaenge/","index,follow",""
"https://www.ehip.eu/hochschule/karriere/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/hochschule/karriere/","index,follow",""
"https://www.ehip.eu/coming-soon-duale-studiengaenge-unternehmen/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","","index,follow",""
"https://www.ehip.eu/study-guide/fernstudium-finanzieren/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/study-guide/fernstudium-finanzieren/","index,follow",""
"https://www.ehip.eu/fernstudium/bachelor/sportmanagement-studium/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/fernstudium/bachelor/sportmanagement-studium/","index,follow",""
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-fitnesstraining-fitnessmanagement/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/fernstudium/bachelor/fernstudium-fitnesstraining-fitnessmanagement/","index,follow",""
"https://www.ehip.eu/fernstudium/bachelor/ernaehrungswissenschaften-fernstudium/","text/html; charset=UTF-8","200","OK","1.1","Indexierbar","","https://www.ehip.eu/fernstudium/bachelor/ernaehrungswissenschaften-fernstudium/","index,follow",""
