"Adresse","Inhaltstyp","Status-Code","Status","Crawltiefe","Inlinks"
"https://www.linkedin.com/school/ehip-hochschule","text/html","999","Request denied","1","123"
"https://www.youtube.com/@ehip.hochschule","application/binary","302","Found","1","123"
"https://www.instagram.com/ehip.hochschule/","text/html; charset=""utf-8""","200","OK","1","123"
"https://www.tiktok.com/@ehip_hochschule","text/html; charset=utf-8","200","OK","1","123"
"https://www.xing.com/pages/ehip-europaeische-hochschule-fuer-innovation-und-perspektive","text/html; charset=utf-8","200","OK","1","123"
"https://www.googletagmanager.com/ns.html?id=GTM-5HJBJ72","text/html; charset=UTF-8","200","OK","1","0"
"https://myfocus.ehip.eu/","text/html","200","OK","1","245"
"https://wa.me/message/JA65JZ53VPF2F1","","0","Von robots.txt gesperrt","1","191"
"https://www.facebook.com/ehip.fernhochschule","text/html; charset=""utf-8""","200","OK","1","123"
"https://www.wissenschaftsrat.de/DE/Aufgabenfelder/Akkreditierungen/akkreditierungen_node.html","text/html;charset=utf-8","200","OK","2","3"
"https://mwk.baden-wuerttemberg.de/de/hochschulen-studium","text/html; charset=utf-8","200","OK","2","3"
"https://private-hochschulen.net/home","text/html;charset=utf-8","200","OK","2","3"
"https://www.akkreditierungsrat.de/index.php/de","text/html; charset=UTF-8","200","OK","2","3"
"https://www.fernstudienanbieter.de/","text/html; charset=utf-8","200","OK","2","3"
"https://www.zfu.de/","text/html; charset=iso-8859-1","301","Moved Permanently","2","3"
"https://www.bundeswehr.de/de/betreuung-fuersorge/der-berufsfoerderungsdienst-der-bundeswehr-bfd","text/html; charset=utf-8","404","Not found","2","2"
"https://www.kfw.de/inlandsfoerderung/Privatpersonen/Studieren-Qualifizieren/KfW-Studienkredit/index-4.html","text/html; charset=utf-8","200","OK","2","1"
"https://www.studierendenwerk-stuttgart.de/","text/html; charset=utf-8","200","OK","2","34"
"https://braincapital.de/","text/html","200","OK","2","1"
"https://www.sbb-stipendien.de/aufstiegsstipendium","text/html; charset=utf-8","200","OK","2","2"
"https://www.deutsche-bildung.de/","text/html; charset=UTF-8","200","OK","2","34"
"https://www.kfw.de/kfw.de.html","text/html; charset=utf-8","200","OK","2","33"
"https://www.fernstudiumcheck.de/fernhochschulen/ehip","text/html; charset=iso-8859-1","429","Too Many Requests","2","33"
"https://www.braincapital.de/","text/html; charset=iso-8859-1","301","Moved Permanently","2","33"
"https://www.facebook.com/ads/preferences/?entry_product=ad_settings_screen","text/html; charset=""utf-8""","302","Found","2","1"
"https://www.facebook.com/legal/EU_data_transfer_addendum","text/html; charset=""utf-8""","200","OK","2","2"
"https://www.provenexpert.com/","text/html; charset=UTF-8","302","Found","2","1"
"https://consent.cookiebot.com/8909ebb9-e6d8-4a27-b98a-5c92d0ff8eac/cd.js","application/javascript","200","OK","2","0"
"https://tools.google.com/dlpage/gaoptout?hl=de","text/html; charset=utf-8","200","OK","2","1"
"https://www.userlike.com/de/data-privacy","text/html; charset=utf-8","200","OK","2","1"
"https://www.tiktok.com/legal/page/eea/privacy-policy/de","text/html","200","OK","2","1"
"https://www.delst.de/?cleverPushUnsubscribe=true","text/html; charset=UTF-8","302","Found","2","1"
"https://privacy.microsoft.com/de-de/privacystatement","text/html","200","OK","2","2"
"https://policies.google.com/privacy?hl=de","text/html; charset=utf-8","200","OK","2","2"
"https://privacy.google.com/businesses/controllerterms/mccs/","text/html; charset=UTF-8","301","Moved Permanently","2","2"
"https://support.google.com/analytics/answer/6004245?hl=de","text/html; charset=UTF-8","200","OK","2","1"
"https://www.google.com/settings/ads/onweb/","text/html; charset=UTF-8","301","Moved Permanently","2","1"
"http://www.youronlinechoices.com/de/praferenzmanagement/","text/html","301","Moved Permanently","2","1"
"https://www.whatsapp.com/legal/business-data-transfer-addendum","text/html; charset=""utf-8""","200","OK","2","1"
"https://www.facebook.com/legal/controller_addendum","text/html; charset=""utf-8""","200","OK","2","1"
"https://www.whatsapp.com/legal/","text/html; charset=""utf-8""","200","OK","2","1"
"https://de-de.facebook.com/help/566994660333381","text/html; charset=""utf-8""","200","OK","2","2"
"https://www.linkedin.com/help/linkedin/answer/62538/datenubertragung-aus-der-eu-dem-ewr-und-der-schweiz?lang=de","text/html; charset=utf-8","404","Not Found","2","1"
"https://www.ionos.de/terms-gtc/terms-privacy","","0","Von robots.txt gesperrt","2","1"
"https://de-de.facebook.com/about/privacy/","text/html; charset=""utf-8""","302","Found","2","1"
"https://policies.google.com/privacy/frameworks","text/html; charset=utf-8","200","OK","2","1"
"https://instagram.com/about/legal/privacy/","text/html; charset=utf-8","301","Moved Permanently","2","1"
"https://support.google.com/analytics/answer/7667196?hl=de","text/html; charset=UTF-8","200","OK","2","1"
"https://www.userlike.com/de/blog/live-chat-software-datenschutz-dsgvo","text/html; charset=utf-8","200","OK","2","1"
"https://www.linkedin.com/legal/privacy-policy","text/html; charset=utf-8","200","OK","2","2"
"https://policies.google.com/technologies/ads?hl=de","text/html; charset=utf-8","200","OK","2","1"
"https://www.xing.com/app/share?op=data_protection","","301","Moved permanently","2","1"
"https://usercentrics.com/de/datenschutzerklaerung/","text/html; charset=UTF-8","200","OK","2","1"
"https://help.instagram.com/519522125107875","text/html; charset=""utf-8""","301","Moved Permanently","2","1"
"https://more.ebsco.com/privacy-policy-de","text/html; charset=utf-8","200","OK","2","1"
"https://cleverpush.com/faq","text/html; charset=UTF-8","301","Moved Permanently","2","1"
"https://www.fernstudiumcheck.de/embed/institute/869/report-widget?layout=horizontal","text/html; charset=iso-8859-1","429","Too Many Requests","2","0"
"https://www.kursfinder.de/anbieter/europaeische-hochschule-fuer-innovation-und-perspektive-ehip/","text/html; charset=utf-8","200","OK","2","1"
"https://www.fortbildung24.com/global_cms/members/original/rating_190x190_113259.png","image/png","200","OK","2","0"
"https://www.fortbildung24.com/anbieter/europaeische-hochschule-fuer-innovation-und-perspektive-ehip/","text/html; charset=utf-8","200","OK","2","1"
"https://www.fernstudium-direkt.de/europaeische-hochschule-fuer-innovation-perspektive-ehip","text/html; charset=UTF-8","200","OK","2","1"
"https://ehip.easy2book.de/media/easy2book/easy2book.min.js","application/javascript; charset=utf-8","200","OK","2","0"
"https://www.fortbildung24.com/anbieter/europaeische-hochschule-fuer-innovation-und-perspektive-ehip/bewertungen/","text/html; charset=utf-8","200","OK","2","1"
